Year,Month,State,County,Rate
2015,February,Arizona,Pinal County,6.5
2015,February,Arizona,Greenlee County,7.9
2015,February,Arizona,La Paz County,8.4
2015,February,Arizona,Mohave County,8.7
2015,February,Arizona,Yuma County,19.0
2015,February,Arizona,Gila County,8.3
2015,February,Arizona,Maricopa County,5.3
2015,February,Arizona,Navajo County,10.7
2015,February,Arizona,Graham County,7.7
2015,February,Arizona,Pima County,5.5
2015,February,Arizona,Apache County,14.4
2015,February,Arizona,Coconino County,6.9
2015,February,Arizona,Cochise County,7.8
2015,February,Arizona,Santa Cruz County,10.6
2015,February,Arizona,Yavapai County,5.9
2015,October,Arizona,Pinal County,6.1
2015,October,Arizona,Greenlee County,8.6
2015,October,Arizona,La Paz County,7.3
2015,October,Arizona,Mohave County,7.6
2015,October,Arizona,Yuma County,22.3
2015,October,Arizona,Gila County,7.8
2015,October,Arizona,Maricopa County,5.0
2015,October,Arizona,Navajo County,8.9
2015,October,Arizona,Graham County,7.3
2015,October,Arizona,Pima County,5.4
2015,October,Arizona,Apache County,12.4
2015,October,Arizona,Coconino County,6.2
2015,October,Arizona,Cochise County,7.0
2015,October,Arizona,Santa Cruz County,13.4
2015,October,Arizona,Yavapai County,5.2
2015,March,Arizona,Pinal County,6.4
2015,March,Arizona,Greenlee County,7.6
2015,March,Arizona,La Paz County,7.6
2015,March,Arizona,Mohave County,8.3
2015,March,Arizona,Yuma County,17.9
2015,March,Arizona,Gila County,8.0
2015,March,Arizona,Maricopa County,5.2
2015,March,Arizona,Navajo County,10.2
2015,March,Arizona,Graham County,7.5
2015,March,Arizona,Pima County,5.4
2015,March,Arizona,Apache County,13.8
2015,March,Arizona,Coconino County,6.6
2015,March,Arizona,Cochise County,7.6
2015,March,Arizona,Santa Cruz County,9.9
2015,March,Arizona,Yavapai County,5.7
2015,August,Arizona,Pinal County,6.7
2015,August,Arizona,Greenlee County,8.1
2015,August,Arizona,La Paz County,7.8
2015,August,Arizona,Mohave County,8.3
2015,August,Arizona,Yuma County,26.1
2015,August,Arizona,Gila County,8.2
2015,August,Arizona,Maricopa County,5.5
2015,August,Arizona,Navajo County,9.8
2015,August,Arizona,Graham County,7.7
2015,August,Arizona,Pima County,6.0
2015,August,Arizona,Apache County,13.4
2015,August,Arizona,Coconino County,6.8
2015,August,Arizona,Cochise County,7.8
2015,August,Arizona,Santa Cruz County,14.2
2015,August,Arizona,Yavapai County,5.9
2015,May,Arizona,Pinal County,6.1
2015,May,Arizona,Greenlee County,7.4
2015,May,Arizona,La Paz County,7.6
2015,May,Arizona,Mohave County,7.6
2015,May,Arizona,Yuma County,24.3
2015,May,Arizona,Gila County,7.6
2015,May,Arizona,Maricopa County,4.9
2015,May,Arizona,Navajo County,9.2
2015,May,Arizona,Graham County,7.1
2015,May,Arizona,Pima County,5.3
2015,May,Arizona,Apache County,13.3
2015,May,Arizona,Coconino County,6.1
2015,May,Arizona,Cochise County,7.3
2015,May,Arizona,Santa Cruz County,9.8
2015,May,Arizona,Yavapai County,5.2
2015,January,Arizona,Pinal County,6.9
2015,January,Arizona,Greenlee County,8.2
2015,January,Arizona,La Paz County,8.5
2015,January,Arizona,Mohave County,9.0
2015,January,Arizona,Yuma County,19.3
2015,January,Arizona,Gila County,8.8
2015,January,Arizona,Maricopa County,5.7
2015,January,Arizona,Navajo County,11.3
2015,January,Arizona,Graham County,8.1
2015,January,Arizona,Pima County,5.9
2015,January,Arizona,Apache County,14.9
2015,January,Arizona,Coconino County,7.5
2015,January,Arizona,Cochise County,8.3
2015,January,Arizona,Santa Cruz County,11.1
2015,January,Arizona,Yavapai County,6.4
2015,June,Arizona,Pinal County,6.6
2015,June,Arizona,Greenlee County,7.5
2015,June,Arizona,La Paz County,7.5
2015,June,Arizona,Mohave County,8.0
2015,June,Arizona,Yuma County,22.4
2015,June,Arizona,Gila County,7.9
2015,June,Arizona,Maricopa County,5.4
2015,June,Arizona,Navajo County,9.7
2015,June,Arizona,Graham County,7.5
2015,June,Arizona,Pima County,6.0
2015,June,Arizona,Apache County,13.8
2015,June,Arizona,Coconino County,6.7
2015,June,Arizona,Cochise County,7.6
2015,June,Arizona,Santa Cruz County,10.5
2015,June,Arizona,Yavapai County,5.8
2015,September,Arizona,Pinal County,6.3
2015,September,Arizona,Greenlee County,8.4
2015,September,Arizona,La Paz County,7.8
2015,September,Arizona,Mohave County,7.9
2015,September,Arizona,Yuma County,24.7
2015,September,Arizona,Gila County,7.8
2015,September,Arizona,Maricopa County,5.1
2015,September,Arizona,Navajo County,9.1
2015,September,Arizona,Graham County,7.5
2015,September,Arizona,Pima County,5.5
2015,September,Arizona,Apache County,12.6
2015,September,Arizona,Coconino County,6.2
2015,September,Arizona,Cochise County,7.3
2015,September,Arizona,Santa Cruz County,14.2
2015,September,Arizona,Yavapai County,5.4
2015,April,Arizona,Pinal County,6.1
2015,April,Arizona,Greenlee County,7.2
2015,April,Arizona,La Paz County,7.7
2015,April,Arizona,Mohave County,7.7
2015,April,Arizona,Yuma County,22.3
2015,April,Arizona,Gila County,7.7
2015,April,Arizona,Maricopa County,4.9
2015,April,Arizona,Navajo County,9.2
2015,April,Arizona,Graham County,6.8
2015,April,Arizona,Pima County,5.3
2015,April,Arizona,Apache County,13.1
2015,April,Arizona,Coconino County,5.9
2015,April,Arizona,Cochise County,7.3
2015,April,Arizona,Santa Cruz County,9.5
2015,April,Arizona,Yavapai County,5.4
2015,December,Arizona,Pinal County,5.7
2015,December,Arizona,Greenlee County,8.3
2015,December,Arizona,La Paz County,6.9
2015,December,Arizona,Mohave County,7.5
2015,December,Arizona,Yuma County,17.6
2015,December,Arizona,Gila County,7.6
2015,December,Arizona,Maricopa County,4.7
2015,December,Arizona,Navajo County,9.2
2015,December,Arizona,Graham County,7.0
2015,December,Arizona,Pima County,5.0
2015,December,Arizona,Apache County,12.6
2015,December,Arizona,Coconino County,6.6
2015,December,Arizona,Cochise County,6.6
2015,December,Arizona,Santa Cruz County,10.2
2015,December,Arizona,Yavapai County,5.0
2015,July,Arizona,Pinal County,6.6
2015,July,Arizona,Greenlee County,7.9
2015,July,Arizona,La Paz County,7.4
2015,July,Arizona,Mohave County,8.2
2015,July,Arizona,Yuma County,25.5
2015,July,Arizona,Gila County,8.2
2015,July,Arizona,Maricopa County,5.5
2015,July,Arizona,Navajo County,10.2
2015,July,Arizona,Graham County,7.8
2015,July,Arizona,Pima County,6.0
2015,July,Arizona,Apache County,14.4
2015,July,Arizona,Coconino County,7.0
2015,July,Arizona,Cochise County,7.6
2015,July,Arizona,Santa Cruz County,13.8
2015,July,Arizona,Yavapai County,5.9
2015,November,Arizona,Pinal County,5.8
2015,November,Arizona,Greenlee County,8.1
2015,November,Arizona,La Paz County,7.0
2015,November,Arizona,Mohave County,7.5
2015,November,Arizona,Yuma County,19.3
2015,November,Arizona,Gila County,7.6
2015,November,Arizona,Maricopa County,4.8
2015,November,Arizona,Navajo County,8.8
2015,November,Arizona,Graham County,7.0
2015,November,Arizona,Pima County,5.2
2015,November,Arizona,Apache County,12.1
2015,November,Arizona,Coconino County,6.2
2015,November,Arizona,Cochise County,6.8
2015,November,Arizona,Santa Cruz County,11.1
2015,November,Arizona,Yavapai County,5.1
2014,February,Arizona,Pinal County,7.4
2014,February,Arizona,Greenlee County,4.7
2014,February,Arizona,La Paz County,8.3
2014,February,Arizona,Mohave County,9.3
2014,February,Arizona,Yuma County,21.8
2014,February,Arizona,Gila County,9.1
2014,February,Arizona,Maricopa County,6.0
2014,February,Arizona,Navajo County,12.3
2014,February,Arizona,Graham County,7.1
2014,February,Arizona,Pima County,6.1
2014,February,Arizona,Apache County,17.1
2014,February,Arizona,Coconino County,7.8
2014,February,Arizona,Cochise County,8.9
2014,February,Arizona,Santa Cruz County,12.8
2014,February,Arizona,Yavapai County,6.7
2014,October,Arizona,Pinal County,6.8
2014,October,Arizona,Greenlee County,8.0
2014,October,Arizona,La Paz County,7.4
2014,October,Arizona,Mohave County,8.3
2014,October,Arizona,Yuma County,22.4
2014,October,Arizona,Gila County,7.9
2014,October,Arizona,Maricopa County,5.7
2014,October,Arizona,Navajo County,10.0
2014,October,Arizona,Graham County,7.6
2014,October,Arizona,Pima County,5.9
2014,October,Arizona,Apache County,14.4
2014,October,Arizona,Coconino County,6.4
2014,October,Arizona,Cochise County,7.8
2014,October,Arizona,Santa Cruz County,13.9
2014,October,Arizona,Yavapai County,5.9
2014,March,Arizona,Pinal County,7.3
